year,month,hou,1000hPa_air,850hPa_air,1000hPa_rhum,850hPa_rhum,1000hPa_wind,850hPa_wind,1000hPa_azimuth,850hPa_azimuth,1000hPa_number,850hPa_number,850hPa_omega
2021,1,1,17.4352020263672,8.76374969482424,68.3179437637329,77.7737215042114,2.55325948204377,5.7178644596574,55.3081680507633,119.858597396532,3,5,0.0701266927043826
2021,1,2,14.6398406982422,6.82569427490237,50.8316097259521,48.0233317375183,3.03379610804832,6.44544451289803,53.7464775300164,68.6763672614721,3,3,0.0574594297521278
2021,1,3,14.6271911621094,7.49825897216799,51.0405632019043,36.5436269760132,1.53622812843706,4.13582593695908,94.7032709613683,124.24135851178,4,5,0.0517076589763744
2021,1,4,17.2409729003906,8.3448669433594,63.4843662261963,72.3529861450195,2.26767051282234,5.17374041951226,83.9960871820945,116.172563780343,4,5,0.0441314793488253
2021,1,5,16.8349670410156,8.7189407348633,55.1845233917236,53.9154590606689,2.17326120843431,4.19236340513933,76.8484081616589,106.124207840671,4,5,0.0565056739627457
2021,1,6,14.5209632873535,8.30319620768231,74.7147084871928,92.302796681722,3.26081583574063,4.19877083565111,74.6849767817085,193.185741473985,3,7,0.0432017922918492
2021,2,1,12.0550094604492,8.59322662353518,83.5687732696533,90.386830329895,2.47464579841706,6.62918564016474,58.2123393377422,236.538884238818,3,9,0.0318614079395368
2021,2,2,8.33827819824221,5.47827148437502,76.5905595779419,92.2781288146973,4.67264736601332,4.22931243962493,36.0242403381533,146.356462674246,2,6,-5.86167235658228e-05
2021,2,3,9.82949371337893,4.95897064208987,65.968563079834,92.8550518035889,3.79144555365146,2.61551787891576,26.7812555645022,131.823814057845,2,5,0.0561604809516458
2021,2,4,15.3089004516602,7.7084426879883,70.4094675064087,91.8320659637451,3.32083581324402,4.13579607572384,77.8765244809313,153.313246886312,4,6,0.0476804859270398
2021,2,5,13.8523788452149,9.28369445800783,80.1018955230713,97.5674999237061,4.28555656357443,4.94701332910065,66.487300763431,163.644967156788,3,6,0.0028487745537244
2021,2,6,14.141374206543,6.22893676757815,45.6686296463013,58.2500893274943,3.09861841102477,3.40152745295502,30.4948487589817,49.8801646059777,2,3,0.0589679778959416
2021,3,1,17.7878341674805,8.97599029541018,38.8762161254883,40.5302940368652,2.31706505378154,5.10148636368132,74.3569397358115,85.4566876863288,3,4,0.0570282357652595
2021,3,2,20.2058502197266,10.254476928711,67.305316734314,86.1763645172119,3.63730787296068,4.46220792055814,165.809673972777,199.838194484247,7,8,0.0518608658059579
2021,3,3,20.6955810546875,12.5099243164063,55.2156149864197,60.8800145149231,3.4562948858883,6.85532350166435,123.872910868958,182.441117818884,5,7,0.0012475586510568
2021,3,4,18.0165420532227,10.5524780273438,76.1144836425781,93.8246164321899,2.99865563761454,4.60304634157295,110.379835968049,176.128339367448,5,7,0.0036731964476281
2021,3,5,23.6798812866211,15.7104049682617,78.2553436279297,84.0356557846069,4.58503761774613,10.0219423974384,176.227640235251,226.302248640425,7,9,-0.0442488637890449
2021,3,6,22.1956103006999,14.556179300944,75.9504772822062,85.859340985616,4.11597919476454,5.92939466563604,113.782368313697,173.329132352432,5,7,-0.0251071836851894
2021,4,1,27.0159469604492,19.0572814941406,67.8442440032959,72.5562345504761,4.89058388645695,12.2050933128678,182.651669531472,229.422060581251,7,9,-0.0521259343668844
2021,4,2,22.3125244140625,15.8739151000977,77.6894891738892,89.7345901489258,4.37343478861801,7.48301997542324,105.334983728276,178.90468018961,5,7,-0.0705066094393525
2021,4,3,19.5401489257813,13.3262680053711,81.1393039703369,95.7188465118408,3.52410130567372,5.66604137461909,110.673208980182,221.538218773825,5,8,0.0072965358961531
2021,4,4,25.9722915649414,16.6977569580078,74.8274782180786,90.3124805450439,3.27641786146983,4.91404455908318,142.609218682248,204.628695191885,6,8,-0.0114933008846277
2021,4,5,24.8642868041992,15.5350601196289,71.8338241577148,91.90458984375,4.59513972350499,8.34408869809466,137.712870602513,180.695818277359,6,7,0.0326940428483302
2021,4,6,28.5080444335938,20.7150543212891,73.7105409622192,73.9259777069092,4.75963839149349,8.08540908366358,159.034338832472,208.564076906092,6,8,-0.0222333211457253
2021,5,1,27.6394851684571,19.5245620727539,80.3276643753052,85.9102468490601,3.51960549861549,5.9528800572285,126.836445782553,174.791550974625,5,7,-0.0473093764377321
2021,5,2,29.3906814575196,22.057699584961,79.534259223938,72.8757394790649,3.52564923767371,6.62368465556089,131.402051086919,194.444961423952,5,7,-0.0796767051742015
2021,5,3,29.9390396118164,22.6672897338867,77.7943561553955,67.9200536727905,6.01046380029914,12.5042956502111,165.255201040147,213.486795758167,7,8,-0.0164421267607773
2021,5,4,31.1948944091797,22.8568878173828,67.5824392318726,67.3230228424072,6.03853030322319,10.2602377553744,164.643364305303,204.348039682728,6,8,0.010226632218911
2021,5,5,29.863851928711,19.8194213867188,69.2652248382568,84.5635707855225,4.96010965677785,7.91603439238954,161.845788650368,194.274754870011,6,7,0.0068756100589789
2021,5,6,26.6769538879395,18.4797416687012,90.9893026351929,92.0679130554199,2.99386858124574,5.50150033490751,141.795682683805,194.543544016404,6,7,-0.0360765978405565
2021,6,1,29.9180801391602,19.7818054199219,74.9600755691528,89.3748165130615,5.33754102465087,10.9055596185025,185.537748675769,213.829242597319,7,8,0.0001160570549181
2021,6,2,30.6143707275391,21.3993835449219,77.3070112228393,85.8372791290283,3.40800612720861,7.56888887573709,111.231175746375,132.741210167397,5,5,-0.0777977101476189
2021,6,3,30.4558227539063,21.4639114379883,80.5379684448242,84.4217914581299,1.56323118893068,3.23119376831775,200.607607455181,125.942752573345,8,5,-0.026063635502498
2021,6,4,34.3144134521485,23.9951614379883,58.6076152801514,71.4504175186157,5.50498992560107,11.5620123762859,200.09185939071,236.122451002045,8,9,-0.0419272790987752
2021,6,5,30.0878646850586,21.774528503418,87.1401790618897,89.3637439727783,3.77489948294002,7.94656302607837,170.028925803124,207.085380573922,7,8,-0.155363498875501
2021,6,6,30.1445190429688,21.2602264404297,85.6390617370605,92.2226043701172,3.0593737860835,6.00710588860312,206.815011247083,174.135174889993,8,7,-0.0745629433694007
2021,7,1,32.3671783447266,21.9665985107422,56.3324253082275,70.448935508728,2.6791560957078,6.76693660377661,82.5681175670579,34.9217370268716,4,2,-0.0053109267752971
2021,7,2,30.7715744018555,20.8905471801758,74.1424362182617,86.0041566848755,3.1047265729545,5.42597995375319,226.407135047658,208.098759129447,9,8,-0.0194574888447845
2021,7,3,30.8028747558594,21.7386459350586,80.8069095611572,85.8898197174072,3.96448820280017,7.21655831124023,182.921022941992,222.694336108503,7,8,-0.0568291196250256
2021,7,4,33.1300170898438,23.2892395019531,68.395464515686,76.3841785430908,1.87772932897045,2.80556809597652,174.514080721648,196.293078232564,7,8,-0.0093153600474852
2021,7,5,30.346696472168,21.7774856567383,84.4377700805664,81.8932594299316,2.77062111949379,5.31146334307686,174.433034112963,226.999396213119,7,9,-0.0440051656486497
2021,7,6,29.7600100199382,21.3323875427246,90.396004041036,92.7621545791626,0.954790924059497,3.3430177421309,261.542284726131,72.0791756964205,10,3,-0.112715120368026
2021,8,1,29.2855239868164,20.7712600708008,91.7672523498535,97.9845729827881,1.69427322353887,3.06086677930904,163.056631461193,182.995179920092,6,7,-0.171600152526328
2021,8,2,29.3469772338867,20.6337631225586,87.1348121643066,87.3088386535645,1.24524589976666,1.89330332533865,138.755980857498,172.423626398475,6,7,-0.0384895831233696
2021,8,3,29.7316940307617,20.8460174560547,87.27233543396,89.7752811431885,2.30222278549308,4.02712550184267,137.276279125044,177.602629973273,6,7,-0.0482156160190606
2021,8,4,30.9512908935547,22.2354782104492,81.2252407073975,87.0194129943848,2.83987730802762,4.9170305823896,191.312254980099,265.75214880525,7,10,-0.0853287138877351
2021,8,5,29.0849182128906,20.2956314086914,89.3028163909912,94.255086517334,1.20775899198802,2.04725878072999,127.427961703538,166.053783553307,5,7,-0.11145228573038
2021,8,6,29.7405652364095,20.2502380371094,83.0358619689941,92.545121828715,1.85014163730913,4.36765787789489,100.022322148486,99.7003640277648,4,4,-0.0229991015866683
2021,9,1,30.7542770385742,20.3876205444336,67.0429010391235,82.6353706359863,2.14234813797692,2.99225810825517,134.126702726575,141.941371236123,5,6,0.0066473700076579
2021,9,2,30.3531646728516,20.0986648559571,72.9644992828369,88.7959903717041,1.9138310592259,4.67744710614295,110.646698864888,117.06468602413,5,5,0.0112624605153596
2021,9,3,33.1624542236328,22.9975204467774,56.7649303436279,68.6897567749023,2.71830393907797,5.79791931873448,227.282306690409,44.8689635034555,9,2,-0.0051086975473243
2021,9,4,29.3863891601563,20.1200759887696,60.9441663742065,76.349077796936,4.15365237155109,8.21068098180162,28.3278314320901,58.0256681619009,2,3,0.0097529399545731
2021,9,5,31.3313140869141,20.9402069091797,65.3794076919556,84.5936107635498,2.75642292447713,6.01121192295258,20.2882734706577,49.5811110688046,2,3,0.0065017374515376
2021,9,6,27.872543334961,18.2943344116211,54.4375690460205,67.0983497619629,5.15838018493837,10.5969844371208,10.6428389796968,34.5545974666282,1,2,0.0333324886720734
2021,10,1,25.250212097168,16.3419204711914,43.2059234619141,43.0154670715332,4.37829846629383,9.26486704586728,14.494258675203,40.9924209274122,1,2,0.0498419554144583
2021,10,2,27.2732330322266,18.5041198730469,46.546307182312,46.9519039154053,1.36422320484989,2.629815391609,125.354534544261,95.6829732492164,5,4,0.0212722180605416
2021,10,3,25.0523132324219,15.9413818359375,54.7130083084106,58.2580551147461,3.3651956380944,6.61680131700987,34.5159158722771,58.4007478245454,2,3,0.0163215616019424
2021,10,4,26.3089324951172,16.7024993896485,54.4684303283691,65.3740913391113,2.43082711613289,5.29569912951952,60.7512589793558,70.7988958787905,3,3,0.0366347835808702
2021,10,5,23.6380096435547,14.019418334961,57.8512489318848,72.7749364852905,2.62129967728467,3.9077892549354,50.4628431627664,62.2782365038763,3,3,0.0434541218156271
2021,10,6,23.6829518636068,14.7402282714844,74.8339635531108,88.3373332023621,3.53953121764321,6.88437063343055,86.0227043812808,113.745255464516,4,5,-0.0031181401537922
2021,11,1,18.3234893798828,12.2707153320313,63.3683259963989,75.3426761627197,3.45061834248198,3.17156353497853,28.9313938684121,64.4997776110995,2,3,0.0337713067449438
2021,11,2,24.2063522338867,15.1835098266602,80.0258291244507,89.5705833435059,2.00277429647381,3.44463346977972,114.606977189996,159.63158057128,5,6,-0.0152591063140555
2021,11,3,14.6517623901367,11.1609558105469,52.2961874008179,61.856920337677,5.07558124017362,6.57544159493169,24.9503632827297,126.902004323169,2,5,0.0351787577966894
2021,11,4,15.5208740234375,10.6739349365235,61.8540065765381,64.3532979488373,4.5814737268257,5.13561098917652,34.9036878285568,108.994305126841,2,5,0.0257481011318284
2021,11,5,14.4199111938477,8.85796966552737,46.9436677932739,42.2530029296875,3.94305042005773,5.30076078466328,30.6925645680276,77.7448886265936,2,4,0.068180031460545
2021,11,6,16.4183090209961,10.8747329711914,75.3034437179565,89.6498271942139,4.70055457848476,7.92151851142908,32.7753588011458,98.4989026637606,2,4,-0.0052176302009435
2021,12,1,15.9102416992188,11.8510848999024,73.9183359146118,71.6914647102356,2.36325179957481,6.33166638196341,57.399914028315,164.304010522601,3,6,0.027417114207214
2021,12,2,15.3500564575196,9.54011840820315,69.065723991394,79.273477935791,4.46968992154679,5.02738023305805,46.326086678,109.484702154418,3,5,0.0286910139211863
2021,12,3,14.4691375732422,10.1737823486328,64.050700378418,71.7094083786011,3.6969409289821,5.69801231374204,35.2758925523555,119.130398463629,2,5,0.0230569417654237
2021,12,4,15.7612594604492,10.6288711547852,74.6620656967163,80.9096462249756,4.014658731352,4.34959914107594,41.3411138048162,90.9413579653097,2,4,0.0334850164449393
2021,12,5,17.4906188964844,8.64915466308596,76.0210369110107,89.7427165985107,2.30089092008427,3.18377019712906,76.6660263063724,159.515339887547,4,6,0.0402324760735577
2021,12,6,19.5897321065267,12.5576899210612,81.8690438270569,88.9169395764669,2.54566072862966,5.75605172117645,99.4836801925785,243.865522756699,4,9,0.0032919261682935
2022,1,1,17.4944534301758,10.2774734497071,78.4856994628906,90.4511117935181,2.70971866131221,6.29638620398408,78.0071204509509,170.877205758816,4,7,-0.0010391132868995
2022,1,2,19.2167861938477,11.3656509399414,87.2530925750732,88.5375701904297,2.9557756059848,5.80255350759327,113.363655155921,155.770408263304,5,6,0.0082107067000189
2022,1,3,15.4651840209961,9.10162811279299,49.304175567627,55.9989205360413,2.47308006042969,2.8791871144836,40.0762577141661,99.2472250026456,2,4,0.0788361073286713
2022,1,4,18.6758453369141,9.98523254394533,60.4465644836426,65.1950973510742,1.82197272903135,3.6422041279729,110.052766429952,177.377551044916,5,7,0.0334802243435787
2022,1,5,17.4946426391602,8.95686645507815,52.6298067092896,55.8864786148071,3.66479498477645,8.40999036769258,83.7251902360682,101.378309815259,4,4,0.0732390183619591
2022,1,6,17.2548957824707,9.95352834065758,58.0674878756205,60.6588688294093,2.4790359615282,4.11082336262133,76.2064750973734,145.875682891293,4,6,0.0596295377818562
2022,2,1,18.2500762939453,11.0596389770508,84.5750375747681,91.5234146118164,3.91402745493273,9.0824914102641,103.229374933813,169.715099379628,4,7,-0.0255479796507738
2022,2,2,20.9245544433594,13.7411575317383,64.3168912887573,73.729963684082,4.40350046698004,7.24250635194637,100.489623444574,211.014871459472,4,8,-0.0596548383046362
2022,2,3,18.4027542114258,12.7180755615235,78.1573375701904,75.2043047904968,3.83429121979108,6.96117279635114,111.30779592557,206.407808916956,5,8,-0.011593279246003
2022,2,4,14.2449279785156,10.5798248291016,73.1788059234619,80.3155239105225,3.22615507975525,4.39139848900283,70.8168947148518,198.350712279139,3,8,0.0476828875989797
2022,2,5,19.0855331420899,11.114892578125,73.5865884780884,83.9397579193115,2.89352357059391,4.61875506699639,102.400809944592,185.904101109884,4,7,0.0159686905193632
2022,2,6,20.3885080973308,10.7559346516927,69.0900443394979,84.9928652445475,3.67180761175098,6.74989434403376,129.691750672436,181.012966798806,5,7,0.0253413715192602
2022,3,1,21.6446823120117,12.1456069946289,80.6561946868896,96.9715713500977,3.46208332437797,7.05060540682195,137.357240823947,195.676654004172,6,8,-0.0090015643137272
2022,3,2,23.7664169311524,15.7414520263672,79.5568050384522,83.2943719863892,4.36330591732873,8.61297105097602,145.091752675338,206.421755989328,6,8,-0.0426175289444164
2022,3,3,16.9561492919922,13.0502166748047,88.8997550964355,97.9237926483154,4.00907445586387,9.26759638767897,97.3345725489173,204.474397830297,4,8,-0.0246976038583478
2022,3,4,24.1626571655274,16.9231597900391,86.5422584533691,80.6618999481201,4.78343366428479,12.1284198272254,172.645097185784,224.020321879113,7,8,-0.0734845848133004
2022,3,5,21.9475112915039,16.4471374511719,59.820937538147,62.6874629974365,4.94282756994096,8.34068393013835,107.857714069153,236.261479530956,5,9,-0.0745505280954601
2022,3,6,19.2368764241537,14.8364985148112,87.4041315714518,95.3600724538167,3.29729019592926,8.45476789047662,98.3381371633055,236.311881518224,4,9,-0.0099879128051528
2022,4,1,25.9288757324219,20.3442077636719,84.5639320373535,65.8474056243897,5.45366313124455,13.4040379300367,170.730446838998,222.011774980639,7,8,-0.0225216446993282
2022,4,2,29.2783279418946,22.4233047485352,64.7644826889038,47.6324708938599,4.64593188135191,12.6504509069727,180.489443051024,233.845687221579,7,9,-0.0995144053439619
2022,4,3,28.4257141113281,20.6791687011719,65.0170930862427,57.8933898925781,3.40651484416486,7.10651049088803,134.791710390184,193.971841105087,5,7,-0.085766218128587
2022,4,4,26.6068679809571,16.839811706543,72.4772119522095,76.1464963912964,3.98826433808791,7.3539205219712,170.8430163057,179.305678600617,7,7,0.0258199766002074
2022,4,5,25.6256332397461,17.2643768310547,64.7252069473267,68.0413444519043,3.44657483447018,8.11506026922283,132.810588532939,205.762645391656,5,8,-0.0018837926206301
2022,4,6,25.4490142822266,16.9901443481446,60.9718990325928,70.4013502120972,4.43460155264819,8.56059324604171,95.6917269436529,147.843757915044,4,6,-0.0400995116360106
2022,5,1,25.6431137084961,17.5156524658203,77.722617149353,81.6582290649414,3.34548320690803,8.57747377717605,128.357222685378,177.333619164076,5,7,-0.0340117810790849
2022,5,2,27.9713531494141,20.5111618041992,80.0644458770752,71.8474529266357,4.02222807839728,8.88470777783558,157.209139491046,202.200001614461,6,8,-0.026111960574808
2022,5,3,32.1468093872071,25.3780548095703,64.9018363952637,48.8669409751892,5.30378245359213,13.1690460024739,180.318027354311,228.927542879761,7,9,-0.106608921139597
2022,5,4,28.7061019897461,20.0420791625977,78.6023929595947,84.4976940155029,6.34774443321131,12.8662129555208,170.505840299178,207.525487115203,7,8,-0.0041521376327044
